,id,name,iata,icao,city,lat,lon,country,alt,size,timezone,countryId
3819,4368,Safford Regional Airport,SAD,KSAD,Safford,32.853333,-109.636772,United States,3170,15957,"{'name': 'America/Phoenix', 'offset': -25200, 'offsetHours': '-7:00', 'abbr': 'MST', 'abbrName': 'Mountain Standard Time', 'isDst': False}",236
3820,1417,Saga Airport,HSG,RJFS,Saga,33.153828,130.30278,Japan,6,18484,"{'name': 'Asia/Tokyo', 'offset': 32400, 'offsetHours': '9:00', 'abbr': 'JST', 'abbrName': 'Japan Standard Time', 'isDst': False}",111
3821,2108,Saginaw MBS International Airport,MBS,KMBS,Saginaw,43.532909,-84.079597,United States,668,31824,"{'name': 'America/Detroit', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'EST', 'abbrName': 'Eastern Standard Time', 'isDst': False}",236
3822,3941,Saguenay Bagotville Airport,YBG,CYBG,Saguenay,48.330551,-70.9963,Canada,522,18295,"{'name': 'America/Montreal', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'EST', 'abbrName': 'Eastern Standard Time', 'isDst': False}",40
3823,7207,Saibai Island Airport,SBR,YSII,Saibai Island,-9.37833,142.625,Australia,15,1266,"{'name': 'Australia/Brisbane', 'offset': 36000, 'offsetHours': '10:00', 'abbr': 'AEST', 'abbrName': 'Australian Eastern Standard Time', 'isDst': False}",14
3824,3270,Saidpur Airport,SPD,VGSD,Saidpur,25.75922,88.908859,Bangladesh,125,9686,"{'name': 'Asia/Dhaka', 'offset': 21600, 'offsetHours': '6:00', 'abbr': '+06', 'abbrName': None, 'isDst': False}",19
3825,935,Saint Etienne Boutheon Airport,EBU,LFMH,Saint Etienne,45.53405,4.297311,France,1325,6547,"{'name': 'Europe/Paris', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",76
3826,1016,Saint Eustatius F.D. Roosevelt Airport,EUX,TNCE,Saint Eustatius,17.49649,-62.979401,Netherlands,129,4707,"{'name': 'America/Kralendijk', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'AST', 'abbrName': 'Atlantic Standard Time', 'isDst': False}",155
3827,7469,Saint Helena Airport,HLE,FHSH,Saint Helena,-15.959167,-5.645833,Saint Helena,1017,366,"{'name': 'Atlantic/St_Helena', 'offset': None, 'offsetHours': '0:00', 'abbr': 'GMT', 'abbrName': 'Greenwich Mean Time', 'isDst': False}",185
3828,4094,Saint John Airport,YSJ,CYSJ,Saint John,45.316109,-65.890198,Canada,357,28809,"{'name': 'America/Moncton', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'AST', 'abbrName': 'Atlantic Standard Time', 'isDst': False}",40
3829,4502,Saint Joseph Rosecrans Memorial Airport,STJ,KSTJ,Saint Joseph,39.771942,-94.909706,United States,826,7597,"{'name': 'America/Chicago', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'CST', 'abbrName': 'Central Standard Time', 'isDst': False}",236
3830,3250,Saint Nazaire Montoir Airport,SNR,LFRZ,Saint Nazaire,47.310551,-2.15666,France,13,11512,"{'name': 'Europe/Paris', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",76
3831,4266,Saint-Augustin Airport,YIF,CYIF,Saint-Augustin,51.209721,-58.657501,Canada,19,1794,"{'name': 'America/Blanc-Sablon', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'AST', 'abbrName': 'Atlantic Standard Time', 'isDst': False}",40
3832,3092,Saint-Brieuc Armor Airport,SBK,LFRT,Saint-Brieuc,48.537491,-2.85654,France,452,6472,"{'name': 'Europe/Paris', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",76
3833,3057,Saint-Denis Roland Garros Airport,RUN,FMEE,Saint-Denis,-20.889999,55.51638,Reunion,66,36290,"{'name': 'Indian/Reunion', 'offset': 14400, 'offsetHours': '4:00', 'abbr': '+04', 'abbrName': None, 'isDst': False}",180
