,Name,Code,ICAO
297,Asia Pacific Airlines,P9,MGE
298,Asia Sky Lines,,LIC
299,Asian Express General Aviation Wuxi,,WUA
300,Asiana Airlines,OZ,AAR
301,Asky Airlines,KP,SKK
302,ASL Airlines,,ABR
303,ASL Airlines Belgium,3V,TAY
304,ASL Airlines France,5O,FPO
305,ASL Airlines Hungary,,FAH
306,ASL Airlines UK,,ABV
307,Asta Linhas Aereas,0A,SUL
308,Astonjet,,ASJ
309,Astral Aviation,8V,ACP
310,ATA Airlines,I3,TBZ
311,ATI Jet,,CYO
312,Atlantic Airways,RC,FLI
313,Atlas Air,5Y,GTI
314,Atlas Air Service,,ATL
315,ATR,,EVX
316,Atran,V8,VAS
317,Auckland Rescue Helicopter,,WPR
318,Aura Airlines,U5,GWR
319,Auric Air,UI,AUK
320,Aurigny Air Services,GR,AUR
321,Aurora,HZ,SHU
322,Austrian Airlines,OS,AUA
323,Av8Jet,,AJO
324,Avanti Air,,ATV
325,Avcenter,,TTE
326,Avcon Jet,,AOJ
327,Avcon Jet Malta,,VCJ
328,Avcon Jet San Marino,,VAJ
329,Avelo Airlines,XP,VXP
330,Avia Traffic,YK,AVJ
331,Aviacon Zitotrans,ZR,AZS
332,Avianca,AV,AVA
333,Avianca Cargo,QT,TPA
334,Avianca Costa Rica,LR,LRC
335,Avianca Ecuador,2K,GLG
336,Avianca El Salvador,TA,TAI
337,Avianca Express,EX,AVR
338,Avianca Guatemala,GU,GUG
339,Aviastar,,VIT
340,Aviastar-TU,4B,TUP
341,Aviation Advisor,,LKF
342,Aviation Horizons,ZS,HZS
343,Avion Express,X9,NVD
344,Avion Express Malta,X8,MLH
345,Avionord,,VND
346,Avior Airlines,9V,ROI
347,Aviostart,,VSR
348,Azerbaijan Airlines,J2,AHY
349,Azimuth,A4,AZO
350,Azman Air,ZQ,AZM
351,Azores Airlines,S4,RZO
352,Aztec Airways,AJ,AZY
353,Azul Conecta,2F,ACN
354,Azul Linhas Aereas,AD,AZU
355,Azur Air,ZF,AZV
356,Azur Air Ukraine,QU,UTN
357,BA CityFlyer,CJ,CFE
358,BA Euroflyer,0A,EFW
