,Name,Code,ICAO
1642,Trade Air,C3,TDR
1643,Tradewind Aviation,TJ,GPD
1644,Trans Air Congo,Q8,TSG
1645,Trans Am Aero Express del Ecuador,7T,RTM
1646,Trans Guyana Airways,,TGY
1647,Trans Island Airways,,GGT
1648,Trans Maldivian Airways,,TMW
1649,Transair,R2,GTS
1650,Transair,R9,MUI
1651,Transavia,HV,TRA
1652,Transavia France,TO,TVF
1653,Transaviabaltika,,KTB
1654,Transaviaexport Airlines,,TXC
1655,TransNusa,8B,TNU
1656,Travel Management Company,,TMC
1657,Tri-State Aero,,TSS
1658,Trigana Air,IL,TGN
1659,Tropic Air,9N,TOS
1660,Tropic Ocean Airways,TI,FTO
1661,Trujet,2T,TRJ
1662,Tsaradia,TZ,TDS
1663,TUI Airlines Belgium,TB,JAF
1664,TUI Airlines Netherlands,OR,TFL
1665,TUI Airways,BY,TOM
1666,TUI fly,X3,TUI
1667,TUI fly Nordic,6B,BLX
1668,TUM AeroCarga,,MCS
1669,Tunisair,TU,TAR
1670,Tunisair Express,UG,TUX
1671,Turkish Airlines,TK,THY
1672,Turkmenistan Airlines,T5,TUA
1673,Turkuaz Airlines,,TRK
1674,Turpial Airlines,T9,VTU
1675,Tus Airways,U8,CYF
1676,Twin Jet,T7,TJT
1677,Tyrol Air Ambulance,,TYW
1678,Tyrolean Jet Service Malta,,TYJ
1679,Tyrolean Jets & Services,,TJS
1680,UG Jet,,UGJ
1681,Uganda Airlines,UR,UGD
1682,UK Royal / VIP Flights,,KRF
1683,Ukraine Air Alliance,,UKL
1684,Ukraine International Airlines,PS,AUI
1685,Ukrainian Wings,,UWJ
1686,ULS Airlines Cargo,GO,KZU
1687,Ultimate Air Shuttle,UE,UJC
1688,Ultra Air,U0,ULS
1689,UNI Air,B7,UIA
1690,Uni-Fly,,UNC
1691,Uni-Top Airlines,UW,UTP
1692,Union Aviation,,UAG
1693,Unique Air,,UQA
1694,United Airlines,UA,UAL
1695,United Eagle,,UEE
1696,United Kingdom - Air Ambulance,,HLE
1697,United Nations,,UNO
1698,United Nigeria Airlines,U5,NUA
1699,United States - US Forest Service,,XCN
1700,Uniworld Air Cargo,U7,UCG
1701,UPS,5X,UPS
1702,UR Airlines,UD,UBD
1703,Ural Airlines,U6,SVR
1704,Urumqi Airlines,UQ,CUH
1705,US-Bangla Airlines,BS,UBG
1706,USA Jet Airlines,,JUS
1707,UTair,UT,UTA
1708,UVT Aero,RT,UVT
1709,Uzbekistan Airways,HY,UZB
1710,V Air,ZV,VAX
1711,Valair,,VVV
1712,Valljet,,VLJ
1713,ValueJet,VK,FVJ
1714,Van Air Europe,V9,VAA
1715,Vanilla Air,JW,VNL
1716,Varesh Airlines,,VRH
1717,Vasco,0V,VFC
1718,Venezolana,,VNE
1719,Veteran Airline,,VTF
1720,Veteran Airlines,,VPB
1721,VI Airlink,,VIL
1722,Via Air,,VID
1723,ViaAir,VC,SRY
1724,Victory Air,,FTN
1725,Vieques Air Link,V4,VES
1726,VietJet Air,VJ,VJC
1727,Vietnam Airlines,VN,HVN
1728,Vietravel Airlines,VU,VAG
1729,VIM Airlines,NN,MOV
1730,Virgin America,VX,VRD
1731,Virgin Atlantic,VS,VIR
1732,Virgin Atlantic International,,VGI
1733,Virgin Australia,VA,VOZ
1734,Virgin Australia Regional,,OZW
1735,Vision Air International,,VIS
1736,Vision Airlines,V2,RBY
1737,VistaJet,,VJT
1738,Vistara,UK,VTI
1739,Viva Air,VH,VVC
1740,Viva Air Peru,VV,VPE
1741,VivaAerobus,VB,VIV
1742,VoePass Linhas Aereas,2Z,PTB
1743,Volare Aviation,,VLZ
1744,Volaris,Y4,VOI
1745,Volaris Costa Rica,Q6,VOC
1746,Volaris El Salvador,N3,VOS
1747,Volato,,TMB
1748,Volga-Dnepr Airlines,VI,VDA
1749,Volotea,V7,VOE
1750,Voluxis,,VXS
1751,Voyage Air,,VRG
1752,Voyageur Airways,VC,VAL
1753,Vueling,VY,VLG
1754,VW Air Service,,BTX
1755,Wamos Air,EB,PLM
1756,Warbelows Air Ventures,4W,WAV
1757,Wasaya Airways,WP,WSG
1758,Wataniya Airways,,WAN
1759,West Air,PN,CHB
1760,West Air,,WLX
1761,West Air,,PCM
1762,West Air Sweden,,SWN
1763,West Atlantic,,NPT
1764,West Coast Charters,,WCC
1765,Westair Aviation,WV,WAA
1766,Western Air,WU,WST
1767,Western Air Express,,WAE
1768,Western Aircraft,ST,STT
1769,Western Global Airlines,KD,WGN
1770,WestJet,WS,WJA
1771,WestJet Encore,WR,WEN
1772,Wheels Up,,GAJ
1773,White,WI,WHT
1774,Wideroe,WF,WIF
1775,Wiggins Airways,,WIG
1776,Wiking Helikopter Service,,WHS
1777,Winair,WM,WIA
1778,Windrose Air Jetcharter,,QGA
1779,Windrose Airlines,7W,WRC
1780,Wingo,P5,RPB
1781,Wingo Panama,,WWP
1782,Wings Air,IW,WON
1783,Wings of Lebanon,W7,WLB
1784,Wizz Air,W6,WZZ
1785,Wizz Air Abu Dhabi,5W,WAZ
1786,Wizz Air Malta,,WMT
1787,Wizz Air UK,W9,WUK
1788,Woodgate Aviation,,CWY
1789,World Atlantic Airlines,WL,WAL
1790,World Cargo Airlines,3G,WCM
1791,World2Fly,2W,WFL
1792,World2Fly Portugal,3P,WPT
1793,Worldwide Jet Charter,,WWI
1794,Wright Air Service,8V,WRF
1795,Xfly,EE,EST
1796,Xiamen Air,MF,CXA
1797,Xo,,XOJ
1798,Yakutia Airlines,R3,SYL
1799,Yamal Airlines,YC,LLM
1800,YanAir,YE,ANR
1801,Yemenia,IY,IYE
1802,Yeti Airlines,YT,NYT
1803,YTO Cargo Airlines,YG,HYT
1804,Zagros Airlines,ZO,IZG
1805,Zambia Airways,ZN,AZB
1806,Zambian Airways,,MBN
1807,Zanair,,TAN
1808,Zenflight,,XEN
1809,Zenith Aviation,,BZE
1810,Zetavia,ZK,ZAV
1811,Zil Air,,SYZ
1812,Zimex Aviation,XM,IMX
1813,Zimex Aviation Austria,,AZD
1814,ZIPAIR,ZG,TZP
1815,Zorex,,ORZ
